node_id,name,in_corpus,case,year
243691,article 53(1),False,,
190803,Delhi Act,False,,
1406924,articles(1).,False,,
860592,"article
213",False,,
3751816,section 15,False,,
97546650,section 23,False,,
115451756,"S., 276",False,,
41479243,S. 126,False,,
83045194,S. 90,False,,
107411642,section 133,False,,
306099,,True,In_Re__The_Delhi_Laws_Act_1912_The_vs_Unknown_on_23_May_1951,1951.0
526554,sections 8,False,,
131657586,9,False,,
5134648,S. 43,False,,
80868843,Section 56,False,,
36047132,Section 46(3),False,,
907456,section 1,False,,
164069845,section 10(1),False,,
613060,section 4,False,,
882231,section 3,False,,
1549763,section 5,False,,
9245922,section 45,False,,
76734933,16,False,,
125456169,section 26,False,,
139567537,section 99(1),False,,
46177844,section 39,False,,
43524555,sections 91,False,,
104809934,S. 168,False,,
35856196,S. 186,False,,
1420126,O'Donouhue v. U.S.,False,,
122035266,section 72,False,,
70202220,s. 102,False,,
1995256,article 154,False,,
34416384,Section 17,False,,
20925349,"The Bombay Agricultural Debtors' Relief Act, 1947",False,,
42971076,section 51(1),False,,
128439834,section 46,False,,
1364341,241].,False,,
882644,article 141 :,False,,
500307,Article 142,False,,
112381755,Section 11,False,,
442204,Tariff Act,False,,
471931,L. Ed. 624] and Yakus v. U.S.,False,,
173098319,Section 17,False,,
46406879,Section 61,False,,
178024069,Temperance Act,False,,
1791268,section 45,False,,
57623428,Section 52,False,,
36857825,sections 50,False,,
62710139,"Acts Interpretation Act, 1901",False,,
1276952,Transport Workers Act,False,,
171062072,section 92(1),False,,
185516964,section 40,False,,
112231003,Section 44,False,,
125448728,section 22,False,,
47049106,section 49,False,,
23849220,Section 18,False,,
87824420,Section 42,False,,
39615003,Section 60,False,,
1336375,article 75(3),False,,
964643,Article 362,False,,
1001004,article 249(3).,False,,
732516,"Janardan  Reddy
v.  The State",True,Janardan_Reddy_And_Others_vs_The_State_Of_Hyderabad_And_on_16_March_1951,1951.0
908644,s.340,False,,
1218877,Art. 136(1),False,,
1663045,Section  8,False,,
191397,section 234,False,,
740255,Abdul  Rahman  v. King Emperor,False,,
112256,"Babu  Lal  v.
Emperor",False,,
1178269,section 243,False,,
1780550,section 311,False,,
1670661,sections 20,False,,
1983271,302,False,,
647828,307,False,,
1626674,339,False,,
1484838,Section 302 (1),False,,
1417508,Section  308,False,,
1645292,Section 309,False,,
1737367,section	 7,False,,
1583711,S. 45,False,,
782541,section 271,False,,
1153915,"Section
430",False,,
1684469,section 355,False,,
1791573,section  417,False,,
