rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
1288,claim petition,2,15,15,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The Deceased’s dependents filed a claim petition for Rs. 7,00,00,000/− in August 2004, alleging, inter alia, that he died as a result of the injuries suffered in the abovementioned accident of 10.06.2004, which occurred due to the rash and "
1289,prime minister,2,15,15,0,non-informative,,,,,"In Bachan Singh V. Prithvi Singh[37], there was a publication of posters bearing the caption ""Pillars of Victory"" with photographs of the Prime Minister, Defense Minister and Foreign Minister."
1290,evacuee,1,23,15,0,non-informative,,,,,Section 4 thereof provided that all interests in the property whether movable or immovable of the evacuees vested in the Custodian appointed by the State Government.
1291,cyrus,1,19,15,0,non-informative,,,,,"Ltd.2 This transfer was recognized, and consequently, Cyrus was impleaded as defendant No. 206 in the suit CS No.14 of For short, “Cyrus” 1958."
1292,paigahs,1,17,15,0,non-informative,,,,,"Besides, Paigahs like Jagirs were inalienable and impartiable save with the consent of the Nizam."
1293,thermal equivalence,1,15,15,0,non-informative,,,,,"Dr. Rao made the ""cost plus"" method the basis of his award in preference to the basis of thermal equivalence of alternate fuel (thermal equivalence basis)."
1294,roop chand,1,15,15,0,non-informative,,,,,"Roop Chand vs State Of Punjab on 10 October, 1962 SUPREME COURT 1503"
1295,belgaum borough municipality,1,15,15,1,informative,FORUM-AUTHORITY,,ACTOR,,"Burmah Shell Oil Storage &Distributing ... vs The Belgaum Borough Municipality on 16 November, 1962 SUPREME COURT 906 Author: M. Hidayatullah Bench: M. Hidayatullah, S.K. Das, J.L. Kapur, A.K. Sarkar, Raghubar Dayal BURMAH SHELL OIL STORAGE"
1296,zenith lamp,1,15,15,0,non-informative,,,,,"S.M. Sikri, A.N. Ray, D.G. Palekar, M. Hameedullah Beg, S.N. Dwivedi SECRETARY, GOVERNMENT OF MADRAS, HOMEDEPARTMENT AND ANOTHER Vs. ZENITH LAMP & ELECTRICAL LTD. DATE OF JUDGMENT10/11/1972 SIKRI, S.M. (CJ) SIKRI, S.M. (CJ) RAY, A.N. PALEKA"
1297,electrical ltd,1,15,15,0,non-informative,CITATION-REF,,,,"S.M. Sikri, A.N. Ray, D.G. Palekar, M. Hameedullah Beg, S.N. Dwivedi SECRETARY, GOVERNMENT OF MADRAS, HOMEDEPARTMENT AND ANOTHER Vs. ZENITH LAMP & ELECTRICAL LTD. DATE OF JUDGMENT10/11/1972 SIKRI, S.M. (CJ) SIKRI, S.M. (CJ) RAY, A.N. PALEKA"
1298,ram tahel ramnand,1,15,15,0,non-informative,,,,,"Ahmedabad Mfg. & Calico Ptg. Co. Ltd vs Ram Tahel Ramnand & on 14 April, 1972 COURT 1598, 1972 LAB."
1299,calico ptg,1,15,15,0,non-informative,,,,,"I.D. Dua, C.A. Vaidyialingam AHMEDABAD MFG. & CALICO PTG."
1300,categorisation,1,15,15,0,non-informative,,,,,"The disputed items related to categorisation of workers their fitments, fixation of work load, the demand for increase of Rs. 10 to be given to every worker over the basic wage implementation of weight age, dearness allowance."
1301,deputy tehsildar,1,15,15,1,informative,FORUM-AUTHORITY,,ACTOR,,"Inams Abolition and Conversion into Ryotwari Act, 1956, which came into force on 14.12.1956, was issued, calling upon the appellant, Archaka of the respondent temple to appear before the Deputy Tehsildar for Inams, Guntur in a suo motu enqu"
1302,cultivate right,1,15,15,1,informative,LEGAL-CONCEPT,,ISSUE,,"On appeal by special leave, the appellant's main contention was that the cultivating rights in the sir lands could not be the subject matter of sale in execution of the decree in view of s. 43 of the Abolition Act."
1303,chandrika singh,1,15,15,0,non-informative,,,,,"The appellants in both the appeals except Chandrika Singh were convicted by the Second Additional District & Sessions judge, Kanpur, of offences under s. 471, Indian Penal Code read with ss. 467 and 468, I.P.C. and sentenced variously."
1304,lic,1,15,15,0,non-informative,CITATION-REF,,,,"In Delhi Electric Supply Undertaking v. Basanti Devi20 the insurer, Life Insurance Corporation, had floated a ‘Salary Savings Scheme’ in which the employer deducted premium from its employees’ salaries and paid them to LIC on the employees’"
1305,article assistant,1,15,15,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"It may be mentioned that articled assistants are assigned to a member, whose obligation is to train them."
1306,defendant no.157,1,15,15,1,informative,PARTY-ACTOR,,ACTOR,,"At this stage, Nawab Khasim Nawaz Jung (defendant No.157) and Cyrus (Defendant No. 206) filed several applications before the High Court in CS No. 14 of 1958, including Application No. 266 of 1983."
1307,election commission,1,15,15,1,informative,FORUM-AUTHORITY,,ACTOR,,"Association for Democratic Reforms,[1] People's Union for Civil Liberties (PUCL) & Another V. Union of India and Another[2], Notification issued by the Election Commission of India and the Notification of the State Election Commission, Sect"
1308,k.s. srinivasan,1,15,15,1,informative,PARTY-ACTOR,,ACTOR,,"K.S. Srinivasan vs Union Of India (Uoi) on 18 February, 1958"
1309,assistant station directors,1,15,15,0,non-informative,,,,,"On September 19, 1952, the appellant was informed that his representation dated September 8, 1952, was under consideration and a suggestion was made that in the meantime he should apply for one of posts of Assistant Station Directors which "
1310,national policy,1,15,15,0,non-informative,ASPECT,,,,NATIONAL POLICY: 6.
1311,jignesh shah,1,15,15,0,non-informative,,,,,"The learned senior counsel has yet further referred to the threeJudge Bench decision in the case of Jignesh Shah and v. Union of India and : 2019 Online 125425 and has submitted that therein too, this Court has analysed in detail the applic"
1312,brother,18,48,14,1,informative,PARTY-ACTOR,,ACTOR,,The persecution case rests mainly on the alleged eye witness account of the incident given by Hari Singh (PW1) who is brother of the deceased.
1313,present,14,34,14,0,non-informative,,,,,"At present, the industry is in the penumbral region where the commodity is free to be distributed at the manufacturer's choice, but yet where such manufacturer being a State instrumentality, has to conform to Articles 14 and 19 of the Const"
1314,effort,14,29,14,0,non-informative,,,,,"Accused Harjit Singh (A-1) was member of the Panchayat and as per his own defence version, he was making efforts though the Panchayat and Revenue Authorities to get the land cleared from encroachment of Harjit Singh And vs State Of Punjab o"
1315,relationship,13,25,14,0,non-informative,,,,,"Experience reveals that long and protracted criminal trials lead to rancour, acrimony and bitterness in the relationship amongst the parties."
1316,trade,11,21,14,0,non-informative,,,,,"P.N. Bhagwati, V.D. Tulzapurkar COMMISSIONER OF INCOME TAX, PATIALA Vs. M/s. GROZ BACKERT SABOO LTD. DATE OF JUDGMENT22/11/1978 BHAGWATI, P.N. BHAGWATI, P.N. TULZAPURKAR, V.D. CITATION: 1979 (2) 371 1979 (1) 340 ACT: Taxable Profits Computa"
1317,communication,11,18,14,0,non-informative,,,,,"In March, 1959, however, the Board sent a further communication to the Secretary and called upon him to get the trust registered."
1318,table,10,20,14,0,non-informative,,,,,"(vi) The High Court in its judgment has observed: ""if the ONGC were acting fairly and reasonably, there was nothing to prevent them from placing all their cards on the table of the court."
1319,reasonable time,10,14,14,0,non-informative,TEMPORAL,,,,"Having reached the conclusion that the cost plus was the only proper basis of fixation of price, the High Court should perhaps have directed the ONGC to charge prices on that basis and given a reasonable time to work out the said price and "
1320,world,9,23,14,0,non-informative,,,,,"According to the High Court, the tenancy of Shyamala Raju stood terminated in 1946, that Setlur has been in possession since 1946, that Suit No. 89/63 was filed by Setlur against Shyamala Raju in February, 1963 and, therefore, when Setlur h"
1321,bangalore,9,21,14,0,non-informative,,,,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
1322,instrumentality,9,18,14,0,non-informative,,,,,it was equally necessary to ensure that such units and instrumentalities were enabled to make reasonable profits; (iii) in the context of the integrated activity of production of crude oil and gas.
1323,bias,9,18,14,0,non-informative,,,,,It is obvious that a party may be released from the bargain if he can show that the selected arbitrator is likely to show bias or by sufficient reason to suspect that he will act unfairly or that he has been guilty of continued unreasonable
1324,foot,9,16,14,0,non-informative,,,,,It must have its feet firmly planted on the earth.
1325,collection,9,15,14,0,non-informative,,,,,"That Entry reads thus : ""Entry No. 18 - Land, that is to say, rights in or over land, land tenures including the relation of landlord and tenant, and the collection of rents ; transfer and alienation of agricultural land; land improvement a"
1326,xiv,9,15,14,0,non-informative,CITATION-REF,,,,"The proviso to section 73 (1) is material and it reads: "" provided that, save as provided in clause (xiv)"
1327,relevance,9,14,14,0,non-informative,,,,,"All the same, one cannot ignore the relevance of the Assam gas price, even though the remedical action required is perhaps more on the Assam side than on the ONGC attitude in Gujarat."
1328,present appellant,9,14,14,1,informative,PARTY-ACTOR,,ACTOR,,There was then an appeal by the present appellant to the High Court.
1329,issuance,8,15,14,0,non-informative,,,,,Further reliefs sought included the issuance of appropriate directions for an assessment by the Grievance Redressal Authority (hereinafter called `GRA') for the Omkareshwar Project of the status of relief and rehabilitation of the oustees a
1330,say application,8,14,14,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,There was thus no prospect at all on 3-8-1955 when the application was made by the Liquidators to the District Judge of obtaining anything beyond the said sum of Rs. 500/- per share and there was also no question of giving any notice to the
1331,mortgage,7,33,14,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,The plea of the defendant was that the mortgage was void.
